類別編號,詐騙類型 (Scam Type),訓練輸入 (Input / 模擬詐騙話術),標籤 (Label),輸出 (Advice/Action)
一,假投資詐騙,(新竹客製) 我有內線消息，台積電供應鏈這支股會大漲 30%！只限我們私人交流群組。你先下載「XX財經App」開戶，我帶你操作 10 萬元小試牛刀。,False_Investment_Scam,警惕「內線消息」與「保證獲利」。正規券商不會要求下載陌生App進行開戶。
一,假投資詐騙,老師說這波 AI 概念股是百年難得的機會，我們採用槓桿操作，20 萬投入一個月變 200 萬不是問題。我手把手教你如何將資金匯入到「導師指定帳戶」。,False_Investment_Scam,警惕「高槓桿」、「短時間暴富」及要求將資金匯入個人或陌生帳戶。
一,假投資詐騙,"親愛的，這是我的虛擬貨幣交易大師，你跟著他操作，保證收益率 120%。先繳 50,000 元會員費，加入黃金 VIP 群組，只剩 5 個名額。",False_Investment_Scam,警惕「高額會員費」和「誇大收益」。投資沒有保證獲利。
一,假投資詐騙,這個平台是國外私募的，提領要先繳交 20% 稅金，請你先繳 50 萬，繳完稅金後就能將 500 萬全數領出。,False_Investment_Scam,這是典型的「不出金」詐騙。正規投資平台不會要求投資人先繳稅金才能提領。
一,假投資詐騙,我們是受金管會監管的區塊鏈量化交易平台，每日穩定 2% 收益，讓你財富自由。請點擊連結進行身份認證和網銀綁定。,False_Investment_Scam,警惕「區塊鏈量化交易」等高深詞彙，並要求網銀綁定。官方監管名單可查詢。
一,假投資詐騙,我是知名財經專家 X 老師的助理，老師創立「飆股研究社」，限額 100 人，請加 LINE 免費領取 3 檔飆股。,False_Investment_Scam,警惕假冒名人。所有飆股或免費資訊都可能是引導至假投資平台的陷阱。
一,假投資詐騙,你看，我剛投入 10 萬，兩天就賺 3 萬的截圖，我們現在正在放空美股，快點跟上。,False_Investment_Scam,警惕不實的獲利截圖。高頻率強調賺錢和催促跟進是常見手法。
一,假投資詐騙,(新竹客製) 老師說這個 IC 設計概念股是獨家資訊，請明天早上 9 點前將 30 萬現金交給我的助理，我們會幫你代操。,False_Investment_Scam,警惕要求「面交」現金進行投資，正規投資管道應是銀行轉帳。
一,假投資詐騙,我們的平台受到新加坡金融管理局認證，投資門檻 100 萬起跳，請下載我們的 VIP 專用 App，不要錯過這次機會。,False_Investment_Scam,警惕聲稱境外監管，但無法在當地查證的陌生投資平台。
一,假投資詐騙,這是保本型投資產品，每月固定配息 8%。請簽署電子合約並將資金匯入我的個人信託帳戶。,False_Investment_Scam,警惕「保本高息」承諾及要求匯入個人名義的「信託帳戶」。
一,假投資詐騙,你現在賺了 100 萬，但帳戶被風控了，需要繳納 50 萬解凍金才能提領。,False_Investment_Scam,警惕「解凍金」、「保證金」等藉口，這通常是詐騙的最後一環。
一,假投資詐騙,我是 YouTuber XX，這是我的秘密投資群。前 100 名加入者享有免費 1 對 1 指導，點擊連結報名！,False_Investment_Scam,警惕假冒知名人物，導流至私人群組進行詐騙。
一,假投資詐騙,你這筆 50 萬的單子虧損了，為了避免爆倉，請立刻再入金 30 萬補足保證金。,False_Investment_Scam,警惕虛報虧損，催促再次投入資金的手段。
一,假投資詐騙,我們專做冷門 NFT 藝術品投資， 3 個月翻 5 倍，保證回收。請到陌生的虛擬錢包網站註冊並轉入以太幣。,False_Investment_Scam,警惕高風險、難以驗證的 NFT/藝術品投資，並要求使用陌生錢包。
一,假投資詐騙,這是我們華爾街內部使用的程式交易軟體，只要 2 萬元授權費，就能自動幫你賺錢。,False_Investment_Scam,警惕推銷「程式交易軟體」或「自動獲利系統」。
一,假投資詐騙,我已經幫你賺了 50 萬，你現在可以提領 1 萬試試看（小額出金）。但要提領 50 萬，你必須先升級帳號，繳 10 萬升級費。,False_Investment_Scam,警惕小額出金誘騙，目的是為了後續收取高額升級費或手續費。
