里名,lat,lng
關新里,24.806,121.015
龍山里,24.798,121.006
埔頂里,24.793,121.012
東勢里,24.803,120.994
育賢里,24.793,120.983
親仁里,24.808,120.970
光明里,24.797,120.983
東園里,24.800,120.985
仙水里,24.787,120.989
綠水里,24.809,120.975
金山里,24.789,121.001
新莊里,24.784,121.008
光復里,24.806,120.980
建功里,24.798,120.995
公園里,24.811,120.977
仙宮里,24.785,120.985
復中里,24.803,120.967
東山里,24.790,120.998
三民里,24.814,120.976
豐功里,24.816,120.989
榮光里,24.791,120.993
文華里,24.816,120.969
中正里,24.804,120.969
福德里,24.802,120.966
新興里,24.800,120.964
東門里,24.804,120.972
科園里,24.776,121.008
南門里,24.801,120.968
千甲里,24.825,120.989
振興里,24.811,120.965
水源里,24.821,120.984
竹蓮里,24.798,120.972
成功里,24.800,120.968
前溪里,24.821,120.977
寺前里,24.802,120.969
關東里,24.781,121.004
武功里,24.818,120.984
柴橋里,24.770,120.969
關帝里,24.803,120.971
錦華里,24.809,120.963
南市里,24.802,120.970
復興里,24.810,120.960
軍功里,24.825,120.973
湖濱里,24.806,120.961
建華里,24.795,120.978
高峰里,24.776,120.979
明湖里,24.770,120.985
頂竹里,24.793,120.975
南大里,24.796,120.970
新光里,24.789,120.969
光鎮里,24.788,120.967
立功里,24.796,120.997
下竹里,24.796,120.974
中興里,24.820,120.994
金雅里,24.828,120.965
湳中里,24.829,120.969
大同里,24.811,120.957
大鵬里,24.832,120.950
中雅里,24.825,120.962
中山里,24.813,120.963
北門里,24.812,120.966
水田里,24.820,120.963
金華里,24.822,120.960
士林里,24.826,120.957
湳雅里,24.824,120.967
西門里,24.808,120.965
磐石里,24.818,120.958
古賢里,24.833,120.956
武陵里,24.823,120.954
興南里,24.837,120.965
南勢里,24.831,120.952
金竹里,24.829,120.959
福林里,24.835,120.958
客雅里,24.787,120.958
康樂里,24.845,120.947
境福里,24.838,120.953
育英里,24.817,120.961
港北里,24.851,120.945
長和里,24.839,120.962
光田里,24.832,120.962
文雅里,24.830,120.961
舊社里,24.826,120.974
中寮里,24.846,120.959
海濱里,24.855,120.940
民富里,24.815,120.955
新民里,24.812,120.959
光華里,24.820,120.970
台溪里,24.809,120.959
仁德里,24.814,120.951
西雅里,24.818,120.952
崇禮里,24.807,120.967
南寮里,24.851,120.936
新雅里,24.826,120.961
曲溪里,24.828,120.971
潛園里,24.805,120.965
石坊里,24.806,120.967
中央里,24.807,120.969
舊港里,24.847,120.927
頂埔里,24.789,120.948
東香里,24.775,120.942
頂福里,24.770,120.921
牛埔里,24.783,120.953
香村里,24.778,120.934
埔前里,24.773,120.930
中埔里,24.770,120.936
香山里,24.775,120.925
南隘里,24.755,120.911
大庄里,24.792,120.940
鹽水里,24.767,120.916
虎林里,24.787,120.945
南港里,24.757,120.899
港南里,24.805,120.930
浸水里,24.798,120.935
樹下里,24.794,120.932
大湖里,24.750,120.918
朝山里,24.783,120.921
內湖里,24.765,120.929
海山里,24.798,120.925
美山里,24.760,120.923
中隘里,24.751,120.930
虎山里,24.778,120.959
茄苳里,24.763,120.950
